osm_id,osm_type,latitude,longitude,name,brand,operator,addr_street,addr_district,opening_hours
266753132,node,40.896837,29.224951,Aytemiz,Aytemiz,Shell,D100 Bulvarı,Pendik,
269367213,node,41.02608,28.979786,Opet,Opet,Alpet,,,
278335431,node,41.028838,29.01744,Petrol Ofisi,Petrol Ofisi,,,,"Mo-Su,PH 00:00-00:00"
288789439,node,41.114194,29.059922,Petrol Ofisi,Petrol Ofisi,,,,
446288239,node,41.00019,28.800738,Class Petrol,Class Petrol,,,,
552869782,node,40.998993,29.154934,Shell,Shell,,,,
568011021,node,41.055094,28.999294,Opet,Opet,Artek Petrol,,,
772439779,node,41.005037,29.030791,Shell Baban Petrol,Shell,,,,
932363710,node,41.05594,28.997701,Shell,Shell,,,,
1670461592,node,40.987644,29.087031,Total,TotalEnergies,,,,
1672420097,node,41.087724,29.017752,Shell,Shell,,,,
1695103519,node,41.004273,28.684117,Total,TotalEnergies,,,,
1713488174,node,40.978326,29.123549,Opet,Opet,,,,
1755203245,node,40.983505,29.091908,Total,TotalEnergies,,,,
1830235496,node,41.2275,28.491645,,,,,,
1905650685,node,40.881515,29.240335,Opet,Opet,,,,
1905900747,node,40.875677,29.232876,Shell,Shell,,,,
1907466158,node,40.898828,29.369215,Türkiye Petrolleri,Türkiye Petrolleri,,Demokrasi Caddesi,Tuzla,
1907466259,node,40.908584,29.360971,Türkiye Petrolleri,Türkiye Petrolleri,,,,
1920258400,node,41.04929,29.07683,Petrol Ofisi,Petrol Ofisi,,,,
2257504633,node,40.967617,29.102627,Aytemiz,Aytemiz,,,,
2257505250,node,40.966423,29.103319,BP,BP,,,,
2257506320,node,40.966139,29.104784,Total,TotalEnergies,,,,
2264750239,node,41.037081,29.155673,Shell,Shell,,,,
2277832475,node,40.996105,28.62522,Alpet Gürpınar,Alpet,Alpet,,,
2363493667,node,40.835841,29.323905,,,,,,
2392806044,node,41.135112,28.465628,,,,,,
2392806726,node,41.157965,28.454553,,,,,,
2392806728,node,41.158016,28.454022,,,,,,
2392986716,node,41.015641,29.074591,Opet,Opet,,,,
2392986717,node,41.016763,29.07609,Shell,Shell,,,,24/7
2429198871,node,41.041378,28.832275,Total,TotalEnergies,,,,
2610629148,node,40.886852,29.239911,Shell,Shell,,,,
2716711598,node,40.987931,28.796068,Shell Şenlikköy,Shell,,,,
2861685236,node,41.094893,27.996901,Shell,Shell,,,,
2861685291,node,41.095708,27.999746,,,,,,
2928531148,node,40.99944,28.713573,Opet,Opet,,,,
2999419474,node,40.97084,29.083573,Shell,Shell,,,,
3095087044,node,41.088072,29.343803,,,,,,
3130909268,node,41.008025,28.881698,Opet,Opet,,,,
3170739257,node,40.989712,28.6652,Shell - Karma Grup,Shell,,,,Mo-Su 00:00-12:00
3474488522,node,41.094727,29.097585,BP,BP,,,,
3474488524,node,41.079965,29.070825,Shell,Shell,,,,
3474488526,node,41.081143,29.077044,,,,,,
3728846486,node,41.044678,28.978354,Kurtuluş Total,,,,,24/7
3790969409,node,41.117542,29.023466,Opet,Opet,,,,
3955643614,node,40.937381,29.14107,Shell,Shell,,,,
3996188487,node,41.060183,28.688489,BP,BP,,,,
3996189675,node,41.060044,28.6881,BP,BP,,,,
4165097565,node,41.050182,29.023723,Best House rental of apartment,Best,,,,
4255747089,node,41.062944,28.950876,Aytemiz,Aytemiz,,,,
4303169790,node,41.080085,28.794082,Türkiye Petrolleri,,,,,
4309080389,node,40.893878,29.355099,Petrol Ofisi,Petrol Ofisi,Petropark,demokrasi caddesi,,24/7
4371188639,node,41.101313,29.29013,Petrol Ofisi,Petrol Ofisi,,,,
4371188640,node,41.092065,29.287845,Shell,Shell,,,,
4416266553,node,41.008576,29.201665,Petrol Ofisi,Petrol Ofisi,,,,
4419028247,node,41.033725,28.975818,occidental pees hotel Istanbul,Occidental,Room Mate,Meşrutiyet Caddesi,,
4442145256,node,40.881148,29.255346,Opet,Opet,,,,
4527983519,node,41.007995,28.537457,Shell-Arpet Petrol,Shell,,,,
4580488790,node,40.889285,29.181183,Shell,Shell,,,,
4699018047,node,40.9612,29.282842,Opet Sultanbeyli,Opet,Opet Petrolcülük A.Ş.,Demokrasi Caddesi,Sultanbeyli,
4699018050,node,40.909371,29.295164,Opet Pendik,Opet,Opet Petrolcülük A.Ş.,Ankara Caddesi,Pendik,
4699018051,node,41.080441,28.652694,Opet Hoşdere Petrol,Opet,Opet Petrolcülük A.Ş.,Hadımköy Altınşehir Yolu,Esenyurt,
4699018057,node,41.029215,28.806502,Opet Küçükçekmece Halkalı,Opet,Opet Petrolcülük A.Ş.,Fatih Caddesi,Küçükçekmece,
4699018077,node,41.011249,29.075282,Petrol Ofisi,Petrol Ofisi,Petrol Ofisi,Libadiye Caddesi,Üsküdar,
4699018204,node,40.987724,28.883948,Opet Bakırköy,Opet,Opet Petrolcülük A.Ş.,Aksu Caddesi,Bakırköy,
